"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 13 20:08:29 GMT 2023","Sat May 13 20:08:40 GMT 2023","11500","","BaseTest","","BaseTest","testSumOfInvalidNumbers","testSumOfInvalidNumbers()",""
"passed","Sat May 13 20:09:05 GMT 2023","Sat May 13 20:09:05 GMT 2023","361","","DualListTest","","DualListTest","testAddAllToList","testAddAllToList()",""
"passed","Sat May 13 20:09:03 GMT 2023","Sat May 13 20:09:05 GMT 2023","1767","","DualListTest","","DualListTest","testIsRightItemAdded","testIsRightItemAdded()",""
"passed","Sat May 13 20:08:40 GMT 2023","Sat May 13 20:08:41 GMT 2023","668","","BaseTest","","BaseTest","testSumOfValidNumbers","testSumOfValidNumbers()",""
"passed","Sat May 13 20:08:40 GMT 2023","Sat May 13 20:08:41 GMT 2023","389","","AlertTest","","AlertTest","testSingleAlert","testSingleAlert()",""
"passed","Sat May 13 20:08:41 GMT 2023","Sat May 13 20:09:03 GMT 2023","22180","","ProgressBarPageTest","","ProgressBarPageTest","testIsBarLoaded","testIsBarLoaded()",""
"passed","Sat May 13 20:08:29 GMT 2023","Sat May 13 20:08:40 GMT 2023","11527","","AlertTest","","AlertTest","testMultipleAlert","testMultipleAlert()",""
"passed","Sat May 13 20:09:05 GMT 2023","Sat May 13 20:09:07 GMT 2023","1697","","RadioTest","","RadioTest","testMultipleRadio","testMultipleRadio()",""
"passed","Sat May 13 20:09:07 GMT 2023","Sat May 13 20:09:08 GMT 2023","1305","","RadioTest","","RadioTest","testSingleRadio","testSingleRadio()",""
